iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
262,0.9905160597,0.8427671317,1.8367085792,0.0000000000,0.1004724253,0.6757779060
263,0.9962985696,0.7603554305,1.8044091190,0.0000000000,0.1405026866,0.7978451277
264,0.9943072415,0.8345171781,1.8337374626,0.0000000000,0.1029323047,0.5918236434
265,0.9994577368,0.7437140228,4.3575105398,0.0000000000,0.2547286148,8.1493968902
266,0.9968987074,0.8343655173,1.8613249502,0.0000000000,0.1726009982,0.8551022585
267,0.9985441692,0.9195375557,4.9895766017,0.0000000000,0.1824050452,4.0092694175
268,0.9956341240,0.8234799484,2.1094807930,0.0000000000,0.1798845772,1.0567521941
269,0.9901826427,0.7930688154,1.6482913200,0.0000000000,0.0827613891,0.3455157440
270,0.9994351843,0.6627030055,9.6338941931,0.0000000000,0.4407759125,16.0697170823
271,0.9979405941,0.4222228025,1.0297523391,0.0000000000,0.1938143748,0.6390709698
272,0.9934075564,0.8470813976,1.8617812059,0.0000000000,0.0864170623,0.8144819578
273,0.9940766953,0.7748924409,1.6724315963,0.0000000000,0.1001342537,0.4934215958
274,0.9924463989,0.7854147452,1.6778306026,0.0000000000,0.0857151150,0.4397049204
275,0.9928204691,0.9403541983,2.0451301717,0.0000000000,0.0484977736,0.5766419391
276,0.9977214377,0.8611755703,2.7397604590,0.0000000000,0.1286375343,2.2181252133
277,0.9950925204,0.8588555580,1.8665530438,0.0000000000,0.0835255794,0.6872180524
278,0.9926400687,0.8966000420,2.0798244993,0.0000000000,0.0619219838,0.9836008104
279,0.9935914642,0.8799622737,1.9275993231,0.0000000000,0.0684684770,0.6292087014
280,0.9919131055,0.8566392776,1.8620727517,0.0000000000,0.0843432411,0.6654844664
281,0.9955391478,0.8953841421,1.9119845506,0.0000000000,0.0914621843,0.5471884359
282,0.9950978585,0.8462858876,1.7272945344,0.0000000000,0.0974740330,0.4180833246
283,0.9948447428,0.8974439120,1.9222187033,0.0000000000,0.0731961514,0.6477529035
284,0.9990495882,0.8244531116,3.8977619096,0.0000000000,0.1607151475,4.8999848275
285,0.9954353821,0.8877255182,1.8720375214,0.0000000000,0.0725468849,0.5568007925
286,0.9940208751,0.8835238516,1.8576449747,0.0000000000,0.0723901691,0.4155451973
287,0.9927645463,0.8570022940,1.8234367287,0.0000000000,0.1019557823,0.5586989060
288,0.9948640937,0.8210634537,1.7229203488,0.0000000000,0.0838771653,0.4830374540
289,0.9928524793,0.8410598027,1.7532733326,0.0000000000,0.1022495754,0.4817634878
290,0.9944308181,0.8247557954,1.7678612866,0.0000000000,0.1076196840,0.5056687802
291,0.9916248584,0.8603493933,1.8910525658,0.0000000000,0.0796758403,0.6289901322
292,0.9926427425,0.8433606858,1.9330557201,0.0000000000,0.1173079016,0.8154402352
293,0.9944732078,0.8592961211,1.8250232751,0.0000000000,0.0601190319,0.4260423934
294,0.9949323101,0.8239256219,1.8154412822,0.0000000000,0.1023339483,0.6781251909
295,0.9947168741,0.9037052017,2.0300614338,0.0000000000,0.0802442615,0.7114589316
296,0.9954491425,0.8896534608,1.9826488103,0.0000000000,0.0691314771,0.6127870404
297,0.9943659827,0.8708706498,1.8227751776,0.0000000000,0.1105126592,0.6248891484
298,0.9996424325,0.7658839346,3.9905405472,0.0000000000,0.2235770311,6.5349617797
299,0.9940710721,0.8294260057,1.8298061034,0.0000000000,0.1143698439,0.6372012710
300,0.9948547938,0.8641171850,1.8897202424,0.0000000000,0.1100408582,0.6961109375
301,0.9950342598,0.8999654399,2.2851728470,0.0000000000,0.0781576854,1.3249211091
302,0.9952961864,0.8608433000,1.9493187572,0.0000000000,0.1400448326,0.7538409807
303,0.9954538329,0.8363968014,1.9302610182,0.0000000000,0.1411866819,0.8303854319
304,0.9954636280,0.8786538298,1.9824043849,0.0000000000,0.0881183599,0.7141641320
305,0.9974166437,0.8798563313,1.9957935962,0.0000000000,0.0993614434,0.7410823292
306,0.9955031876,0.9061630537,1.9626506037,0.0000000000,0.0820036474,0.6735969793
307,0.9949389699,0.8971119086,2.1117496852,0.0000000000,0.0844376587,0.8696510987
308,0.9945944492,0.8666651496,2.1729734304,0.0000000000,0.0892902983,0.8959066618
309,0.9965755065,0.8618699898,1.9104719990,0.0000000000,0.1274536733,0.7140395640
310,0.9952261677,0.8996834608,1.9739817273,0.0000000000,0.0847781869,0.7041420876
311,0.9948801801,0.8952238187,1.8945456683,0.0000000000,0.0909555163,0.7358555910
312,0.9964992001,0.8649253281,1.8645850714,0.0000000000,0.1271900319,0.6735917804
