iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
285,0.9954353821,0.8426897433,1.8110953950,0.0000000000,0.0583026426,0.7553144686
286,0.9940208751,0.8369622820,1.4610587458,0.0000000000,0.0673647454,0.2183389794
287,0.9927645463,0.8462178963,1.6929005238,0.0000000000,0.0745491385,0.3158522689
288,0.9948640937,0.7723648863,2.0192906721,0.0000000000,0.0988419250,0.7971896039
289,0.9928524793,0.7712220657,1.5408249062,0.0000000000,0.0948844387,0.2513666239
290,0.9944308181,0.6979881050,1.5661601943,0.0000000000,0.1084743065,0.3447228384
291,0.9916248584,0.7590000180,1.7753755065,0.0000000000,0.0907243697,0.8559820414
292,0.9926427425,0.7864916926,1.7711072667,0.0000000000,0.1148978166,0.4547760158
293,0.9944732078,0.8378207639,1.7680333251,0.0000000000,0.0494755306,0.4198414672
294,0.9949323101,0.7683100461,1.4527516989,0.0000000000,0.0903428784,0.3032651268
295,0.9947168741,0.8755687929,2.0854802024,0.0000000000,0.0664073896,0.9397332875
296,0.9954491425,0.8568555310,1.7381041020,0.0000000000,0.0566285976,0.3609927792
297,0.9943659827,0.8119710178,1.9928642091,0.0000000000,0.0955390246,0.8000821554
298,0.9996424325,0.8315454959,6.5179940578,0.0000000000,0.1987117380,9.6281015708
299,0.9940710721,0.8293285969,1.4542961882,0.0000000000,0.1008597040,0.1907328843
300,0.9948547938,0.7213779487,1.4482369476,0.0000000000,0.1184130117,0.4720265731
301,0.9950342598,0.8578305575,1.8699342536,0.0000000000,0.0937547971,0.5943903404
302,0.9952961864,0.6664834964,1.7857985302,0.0000000000,0.1513003685,0.7675518806
303,0.9954538329,0.7236617174,1.5690787982,0.0000000000,0.1978001934,0.7934172670
304,0.9954636280,0.7151026384,1.7914346327,0.0000000000,0.1035060281,1.0730868256
305,0.9974166437,0.7854034628,1.3535802406,0.0000000000,0.2150523497,0.3451688706
306,0.9955031876,0.7213241247,1.7443276051,0.0000000000,0.0951677357,0.6666927358
307,0.9949389699,0.7758724488,1.4942698930,0.0000000000,0.1656593868,0.3474394517
308,0.9945944492,0.7597025005,1.8282394844,0.0000000000,0.0903433646,0.8169857841
309,0.9965755065,0.7152455152,1.2941130397,0.0000000000,0.0977100148,0.1641028814
310,0.9952261677,0.7966995727,2.0643917741,0.0000000000,0.0996055168,0.9221166585
311,0.9948801801,0.8334524682,1.5211671430,0.0000000000,0.1176616784,0.3878737392
312,0.9964992001,0.7630095029,1.7645901559,0.0000000000,0.1695895921,0.8988352027
